FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.96816,96816,P-34718-260,,VALLILANLAAKSO,Puisto,DOUGLASKUUSI,Pseudotsuga,menziesii,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950509342841386 60.200017652899085)
Puurekisteri_piste.96959,96959,P-24060-17,,ILASKIVEN PUISTO,Puisto,TERVALEPPÄ,Alnus,glutinosa,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.868471510439633 60.188033177868355)
Puurekisteri_piste.96960,96960,P-24060-18,,ILASKIVEN PUISTO,Puisto,TERVALEPPÄ,Alnus,glutinosa,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.86864545598429 60.18804885024044)
Puurekisteri_piste.97121,97121,P-26022-15,,PAKARITUVANPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.86409872246543 60.243889261355825)
Puurekisteri_piste.97122,97122,P-26022-16,,PAKARITUVANPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.864209954753008 60.24391620167579)
Puurekisteri_piste.97123,97123,P-26022-17,,PAKARITUVANPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.86426690568575 60.243929892649575)
Puurekisteri_piste.97124,97124,P-26022-18,,PAKARITUVANPUISTO,Puisto,MONGOLIANVAAHTERA,Acer,tataricum,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.864209064894688 60.24396875731827)
Puurekisteri_piste.97125,97125,P-26022-19,,PAKARITUVANPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.864191267729332 60.24398951456552)
Puurekisteri_piste.97126,97126,P-26022-20,,PAKARITUVANPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.864150334246418 60.24403412052063)
Puurekisteri_piste.97127,97127,P-26022-21,,PAKARITUVANPUISTO,Puisto,PURPPURATUOMI,Prunus,padus,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.86397325244472 60.24404648651726)
Puurekisteri_piste.97128,97128,P-26022-22,,PAKARITUVANPUISTO,Puisto,PURPPURATUOMI,Prunus,padus,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.86402842365973 60.24405973579409)
