FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.10657,10657,K-9486,KÄPYLÄNTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95851143372239 60.214920666195205)
Puurekisteri_piste.10658,10658,K-9487,KÄPYLÄNTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.958523608263146 60.21499785004135)
Puurekisteri_piste.10660,10660,K-5808,,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93991477740915 60.17967834114489)
Puurekisteri_piste.10661,10661,P-33031-11,,HAKASALMENPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93359707293722 60.17481666458795)
Puurekisteri_piste.10662,10662,P-33031-12,,HAKASALMENPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.933661335404956 60.174814569717796)
Puurekisteri_piste.10663,10663,P-33031-13,,HAKASALMENPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.933718606495006 60.17479158633711)
Puurekisteri_piste.10664,10664,P-33031-14,,HAKASALMENPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93371022918948 60.17480551327072)
Puurekisteri_piste.10666,10666,K-4158,VELLAMONKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96629219986269 60.19562449701563)
Puurekisteri_piste.10670,10670,K-4508,ITÄINEN BRAHENKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949439752697575 60.19027016959282)
Puurekisteri_piste.10673,10673,P-42002-16,,ULLANPUISTIKKO,Puisto,PUISTOLEHMUS,Tilia,x vulgaris,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (24.952693873685043 60.16038441524142)
Puurekisteri_piste.10674,10674,P-42002-17,,ULLANPUISTIKKO,Puisto,PUISTOLEHMUS,Tilia,x vulgaris,70 cm -,239,Helsinki/MAKA,2026-02-27,POINT (24.95283268312062 60.16040901168289)
Puurekisteri_piste.10678,10678,P-53003-1878,,TULLISAAREN KARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (25.02368271915425 60.17753633199874)
Puurekisteri_piste.10680,10680,P-44017-198,,KATRI VALAN PUISTO,Puisto,TARHAOMENAPUU,Malus,domestica,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.963459007722147 60.18572154960431)
Puurekisteri_piste.10681,10681,P-44017-199,,KATRI VALAN PUISTO,Puisto,VUORIJALAVA,Ulmus,glabra,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.963387934610985 60.185749585395826)
